frame_index,ball_x,ball_y,dx,dy,distance_from_center
454,56,61,-8,-3,8.54400374531753
455,57,66,-7,2,7.280109889280518
456,58,70,-6,6,8.48528137423857
457,58,74,-6,10,11.661903789690601
458,58,78,-6,14,15.231546211727817
459,72,91,8,27,28.160255680657446
460,59,83,-5,19,19.6468827043885
461,73,96,9,32,33.24154027718932
462,66,90,2,26,26.076809620810597
463,66,89,2,25,25.079872407968907
464,67,88,3,24,24.186773244895647
465,67,87,3,23,23.194827009486403
466,67,86,3,22,22.20360331117452
467,67,84,3,20,20.223748416156685
468,67,82,3,18,18.24828759089466
469,68,80,4,16,16.492422502470642
470,68,78,4,14,14.560219778561036
471,68,76,4,12,12.649110640673518
472,68,73,4,9,9.848857801796104
473,68,71,4,7,8.06225774829855
474,68,68,4,4,5.656854249492381
475,68,66,4,2,4.47213595499958
476,68,64,4,0,4.0
477,68,62,4,-2,4.47213595499958
478,69,59,5,-5,7.0710678118654755
479,68,57,4,-7,8.06225774829855
480,68,56,4,-8,8.94427190999916
481,68,56,4,-8,8.94427190999916
482,68,55,4,-9,9.848857801796104
483,68,55,4,-9,9.848857801796104
484,68,53,4,-11,11.704699910719626
485,68,53,4,-11,11.704699910719626
486,68,52,4,-12,12.649110640673518
487,68,52,4,-12,12.649110640673518
488,68,52,4,-12,12.649110640673518
489,68,52,4,-12,12.649110640673518
490,68,52,4,-12,12.649110640673518
491,68,52,4,-12,12.649110640673518
492,67,52,3,-12,12.36931687685298
493,67,53,3,-11,11.40175425099138
494,67,53,3,-11,11.40175425099138
495,67,54,3,-10,10.44030650891055
496,66,54,2,-10,10.198039027185569
497,66,55,2,-9,9.219544457292887
498,65,55,1,-9,9.055385138137417
499,66,56,2,-8,8.246211251235321
500,65,56,1,-8,8.06225774829855
501,65,57,1,-7,7.0710678118654755
502,64,57,0,-7,7.0
503,64,57,0,-7,7.0
504,64,57,0,-7,7.0
505,65,58,1,-6,6.082762530298219
506,65,59,1,-5,5.0990195135927845
507,64,59,0,-5,5.0
508,64,59,0,-5,5.0
509,65,60,1,-4,4.123105625617661
510,65,61,1,-3,3.1622776601683795
511,64,62,0,-2,2.0
512,64,63,0,-1,1.0
513,64,63,0,-1,1.0
514,63,64,-1,0,1.0
515,62,64,-2,0,2.0
516,62,64,-2,0,2.0
517,62,64,-2,0,2.0
518,62,64,-2,0,2.0
519,62,64,-2,0,2.0
520,61,63,-3,-1,3.1622776601683795
521,61,62,-3,-2,3.605551275463989
522,62,62,-2,-2,2.8284271247461903
523,61,61,-3,-3,4.242640687119285
524,61,61,-3,-3,4.242640687119285
525,62,61,-2,-3,3.605551275463989
526,62,61,-2,-3,3.605551275463989
527,61,61,-3,-3,4.242640687119285
528,61,61,-3,-3,4.242640687119285
529,62,61,-2,-3,3.605551275463989
530,61,62,-3,-2,3.605551275463989
531,61,62,-3,-2,3.605551275463989
532,61,62,-3,-2,3.605551275463989
533,61,62,-3,-2,3.605551275463989
534,60,62,-4,-2,4.47213595499958
535,60,62,-4,-2,4.47213595499958
536,60,62,-4,-2,4.47213595499958
537,60,62,-4,-2,4.47213595499958
538,59,61,-5,-3,5.830951894845301
539,59,61,-5,-3,5.830951894845301
540,59,60,-5,-4,6.4031242374328485
541,59,60,-5,-4,6.4031242374328485
542,59,60,-5,-4,6.4031242374328485
543,58,59,-6,-5,7.810249675906654
544,58,58,-6,-6,8.48528137423857
545,58,58,-6,-6,8.48528137423857
546,57,57,-7,-7,9.899494936611665
547,56,57,-8,-7,10.63014581273465
548,56,57,-8,-7,10.63014581273465
549,56,56,-8,-8,11.313708498984761
550,56,56,-8,-8,11.313708498984761
551,56,56,-8,-8,11.313708498984761
552,56,56,-8,-8,11.313708498984761
553,56,56,-8,-8,11.313708498984761
554,55,56,-9,-8,12.041594578792296
555,56,56,-8,-8,11.313708498984761
556,56,57,-8,-7,10.63014581273465
557,56,57,-8,-7,10.63014581273465
558,56,58,-8,-6,10.0
559,56,58,-8,-6,10.0
560,56,59,-8,-5,9.433981132056603
561,56,59,-8,-5,9.433981132056603
562,56,60,-8,-4,8.94427190999916
563,58,68,-6,4,7.211102550927978
564,58,69,-6,5,7.810249675906654
565,58,70,-6,6,8.48528137423857
566,58,71,-6,7,9.219544457292887
567,58,71,-6,7,9.219544457292887
568,58,72,-6,8,10.0
569,57,72,-7,8,10.63014581273465
570,57,73,-7,9,11.40175425099138
571,57,73,-7,9,11.40175425099138
572,57,72,-7,8,10.63014581273465
573,57,72,-7,8,10.63014581273465
574,57,71,-7,7,9.899494936611665
575,57,71,-7,7,9.899494936611665
576,123,125,59,61,84.86459803710851
577,123,125,59,61,84.86459803710851
578,123,124,59,60,84.1486779456457
579,123,124,59,60,84.1486779456457
580,123,123,59,59,83.43860018001261
581,123,122,59,58,82.73451516749222
582,123,121,59,57,82.03657720797473
583,122,119,58,55,79.93122043357026
584,121,117,57,53,77.83315488916018
585,38,116,-26,52,58.137767414994535
586,120,113,56,49,74.41102068914255
587,34,110,-30,46,54.91812087098393
588,117,108,53,44,68.8839603971781
589,30,103,-34,39,51.73973328110612
590,28,99,-36,35,50.20956084253277
591,26,95,-38,31,49.040799340956916
592,112,96,48,32,57.688820407423826
593,111,92,47,28,54.70831746635972
594,20,81,-44,17,47.16990566028302
595,18,76,-46,12,47.53945729601885
596,16,98,-48,34,58.82176467941097
597,105,78,41,14,43.32435804486894
598,104,73,40,9,41.0
599,102,70,38,6,38.47076812334269
600,100,66,36,2,36.05551275463989
601,10,120,-54,56,77.79460135510689
602,98,61,34,-3,34.132096331752024
603,4,48,-60,-16,62.0966987850401
604,95,56,31,-8,32.01562118716424
605,93,53,29,-11,31.016124838541646
606,91,51,27,-13,29.966648127543394
607,90,50,26,-14,29.5296461204668
608,88,48,24,-16,28.844410203711913
609,86,46,22,-18,28.42534080710379
610,84,45,20,-19,27.586228448267445
611,82,44,18,-20,26.90724809414742
612,80,43,16,-21,26.40075756488817
613,79,42,15,-22,26.627053911388696
614,77,42,13,-22,25.553864678361276
615,76,42,12,-22,25.059928172283335
616,74,41,10,-23,25.079872407968907
617,72,41,8,-23,24.351591323771842
618,71,42,7,-22,23.08679276123039
619,70,43,6,-21,21.840329667841555
620,69,43,5,-21,21.587033144922902
621,67,44,3,-20,20.223748416156685
622,66,45,2,-19,19.1049731745428
623,65,47,1,-17,17.029386365926403
624,64,49,0,-15,15.0
625,64,51,0,-13,13.0
626,62,53,-2,-11,11.180339887498949
627,62,55,-2,-9,9.219544457292887
628,61,57,-3,-7,7.615773105863909
629,61,59,-3,-5,5.830951894845301
630,61,62,-3,-2,3.605551275463989
631,61,64,-3,0,3.0
632,61,66,-3,2,3.605551275463989
633,61,68,-3,4,5.0
634,61,70,-3,6,6.708203932499369
635,62,72,-2,8,8.246211251235321
636,62,72,-2,8,8.246211251235321
637,63,73,-1,9,9.055385138137417
638,63,74,-1,10,10.04987562112089
